case	consumer	rc	phase	surface	normalised_argv	instrument	reason
arms/A1/c15-meta-unknown-keys-rw/consumers.tsv	ls-alias	0	P1	ae ls	ae ls	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A1/c15-meta-unknown-keys-rw/consumers.tsv	ls-alias-all	0	P1	ae ls	ae ls --all	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A1/c15-meta-unknown-keys-rw/consumers.tsv	status	0	P1-ADJACENT	ae status	ae status tg1	frozen	a read, but not named by VISION:93 — not parity-gating
arms/A1/c15-meta-unknown-keys-rw/consumers.tsv	next	1	P1-ADJACENT	ae next	ae next	frozen	a read, but not named by VISION:93 — not parity-gating
arms/A1/c15-meta-unknown-keys-rw/consumers.tsv	requests-all	0	P1	helper:requests	<AE_HOME>/sessions/tg1/requests all	generated-helper	read surface NAMED by VISION:93 — parity-gating
arms/A1/c15-meta-unknown-keys-rw/consumers.tsv	agents	0	P1-ADJACENT	helper:agents	<AE_HOME>/sessions/tg1/agents	generated-helper	a read, but not named by VISION:93 — not parity-gating
arms/A1/c15-meta-unknown-keys-rw/consumers.tsv	events-tail	143	P1	helper:events-tail	<AE_HOME>/sessions/tg1/events-tail	generated-helper	read surface NAMED by VISION:93 — parity-gating
arms/A1/c16-events-unknown-keys-ro/consumers.tsv	list	0	P1	ae list	ae list	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A1/c16-events-unknown-keys-ro/consumers.tsv	list-json	0	P1	ae list	ae list --json	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A1/c16-events-unknown-keys-ro/consumers.tsv	list-all	0	P1	ae list	ae list --all	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A1/c16-events-unknown-keys-ro/consumers.tsv	list-all-json	0	P1	ae list	ae list --all --json	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A1/c16-events-unknown-keys-ro/consumers.tsv	ls-alias	0	P1	ae ls	ae ls	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A1/c16-events-unknown-keys-ro/consumers.tsv	ls-alias-all	0	P1	ae ls	ae ls --all	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A1/c16-events-unknown-keys-ro/consumers.tsv	status	0	P1-ADJACENT	ae status	ae status tg1	frozen	a read, but not named by VISION:93 — not parity-gating
arms/A1/c16-events-unknown-keys-ro/consumers.tsv	next	1	P1-ADJACENT	ae next	ae next	frozen	a read, but not named by VISION:93 — not parity-gating
arms/A1/c16-events-unknown-keys-ro/consumers.tsv	requests-all	0	P1	helper:requests	<AE_HOME>/sessions/tg1/requests all	generated-helper	read surface NAMED by VISION:93 — parity-gating
arms/A1/c16-events-unknown-keys-ro/consumers.tsv	agents	0	P1-ADJACENT	helper:agents	<AE_HOME>/sessions/tg1/agents	generated-helper	a read, but not named by VISION:93 — not parity-gating
arms/A1/c16-events-unknown-keys-ro/consumers.tsv	events-tail	143	P1	helper:events-tail	<AE_HOME>/sessions/tg1/events-tail	generated-helper	read surface NAMED by VISION:93 — parity-gating
arms/A1/c16-events-unknown-keys-rw/consumers.tsv	list	0	P1	ae list	ae list	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A1/c16-events-unknown-keys-rw/consumers.tsv	list-json	0	P1	ae list	ae list --json	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A1/c16-events-unknown-keys-rw/consumers.tsv	list-all	0	P1	ae list	ae list --all	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A1/c16-events-unknown-keys-rw/consumers.tsv	list-all-json	0	P1	ae list	ae list --all --json	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A1/c16-events-unknown-keys-rw/consumers.tsv	ls-alias	0	P1	ae ls	ae ls	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A1/c16-events-unknown-keys-rw/consumers.tsv	ls-alias-all	0	P1	ae ls	ae ls --all	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A1/c16-events-unknown-keys-rw/consumers.tsv	status	0	P1-ADJACENT	ae status	ae status tg1	frozen	a read, but not named by VISION:93 — not parity-gating
arms/A1/c16-events-unknown-keys-rw/consumers.tsv	next	1	P1-ADJACENT	ae next	ae next	frozen	a read, but not named by VISION:93 — not parity-gating
arms/A1/c16-events-unknown-keys-rw/consumers.tsv	requests-all	0	P1	helper:requests	<AE_HOME>/sessions/tg1/requests all	generated-helper	read surface NAMED by VISION:93 — parity-gating
arms/A1/c16-events-unknown-keys-rw/consumers.tsv	agents	0	P1-ADJACENT	helper:agents	<AE_HOME>/sessions/tg1/agents	generated-helper	a read, but not named by VISION:93 — not parity-gating
arms/A1/c16-events-unknown-keys-rw/consumers.tsv	events-tail	143	P1	helper:events-tail	<AE_HOME>/sessions/tg1/events-tail	generated-helper	read surface NAMED by VISION:93 — parity-gating
arms/A1/c17-unknown-action-ro/consumers.tsv	list	0	P1	ae list	ae list	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A1/c17-unknown-action-ro/consumers.tsv	list-json	0	P1	ae list	ae list --json	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A1/c17-unknown-action-ro/consumers.tsv	list-all	0	P1	ae list	ae list --all	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A1/c17-unknown-action-ro/consumers.tsv	list-all-json	0	P1	ae list	ae list --all --json	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A1/c17-unknown-action-ro/consumers.tsv	ls-alias	0	P1	ae ls	ae ls	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A1/c17-unknown-action-ro/consumers.tsv	ls-alias-all	0	P1	ae ls	ae ls --all	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A1/c17-unknown-action-ro/consumers.tsv	status	0	P1-ADJACENT	ae status	ae status tg7a	frozen	a read, but not named by VISION:93 — not parity-gating
arms/A1/c17-unknown-action-ro/consumers.tsv	next	1	P1-ADJACENT	ae next	ae next	frozen	a read, but not named by VISION:93 — not parity-gating
arms/A1/c17-unknown-action-ro/consumers.tsv	requests-all	0	P1	helper:requests	<AE_HOME>/sessions/tg7a/requests all	generated-helper	read surface NAMED by VISION:93 — parity-gating
arms/A1/c17-unknown-action-ro/consumers.tsv	agents	0	P1-ADJACENT	helper:agents	<AE_HOME>/sessions/tg7a/agents	generated-helper	a read, but not named by VISION:93 — not parity-gating
arms/A1/c17-unknown-action-ro/consumers.tsv	events-tail	143	P1	helper:events-tail	<AE_HOME>/sessions/tg7a/events-tail	generated-helper	read surface NAMED by VISION:93 — parity-gating
arms/A1/c17-unknown-action-rw/consumers.tsv	list	0	P1	ae list	ae list	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A1/c17-unknown-action-rw/consumers.tsv	list-json	0	P1	ae list	ae list --json	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A1/c17-unknown-action-rw/consumers.tsv	list-all	0	P1	ae list	ae list --all	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A1/c17-unknown-action-rw/consumers.tsv	list-all-json	0	P1	ae list	ae list --all --json	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A1/c17-unknown-action-rw/consumers.tsv	ls-alias	0	P1	ae ls	ae ls	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A1/c17-unknown-action-rw/consumers.tsv	ls-alias-all	0	P1	ae ls	ae ls --all	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A1/c17-unknown-action-rw/consumers.tsv	status	0	P1-ADJACENT	ae status	ae status tg7a	frozen	a read, but not named by VISION:93 — not parity-gating
arms/A1/c17-unknown-action-rw/consumers.tsv	next	1	P1-ADJACENT	ae next	ae next	frozen	a read, but not named by VISION:93 — not parity-gating
arms/A1/c17-unknown-action-rw/consumers.tsv	requests-all	0	P1	helper:requests	<AE_HOME>/sessions/tg7a/requests all	generated-helper	read surface NAMED by VISION:93 — parity-gating
arms/A1/c17-unknown-action-rw/consumers.tsv	agents	0	P1-ADJACENT	helper:agents	<AE_HOME>/sessions/tg7a/agents	generated-helper	a read, but not named by VISION:93 — not parity-gating
arms/A1/c17-unknown-action-rw/consumers.tsv	events-tail	143	P1	helper:events-tail	<AE_HOME>/sessions/tg7a/events-tail	generated-helper	read surface NAMED by VISION:93 — parity-gating
arms/A1/c18-no-trailing-newline-ro/consumers.tsv	list	0	P1	ae list	ae list	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A1/c18-no-trailing-newline-ro/consumers.tsv	list-json	0	P1	ae list	ae list --json	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A1/c18-no-trailing-newline-ro/consumers.tsv	list-all	0	P1	ae list	ae list --all	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A1/c18-no-trailing-newline-ro/consumers.tsv	list-all-json	0	P1	ae list	ae list --all --json	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A1/c18-no-trailing-newline-ro/consumers.tsv	ls-alias	0	P1	ae ls	ae ls	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A1/c18-no-trailing-newline-ro/consumers.tsv	ls-alias-all	0	P1	ae ls	ae ls --all	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A1/c18-no-trailing-newline-ro/consumers.tsv	status	0	P1-ADJACENT	ae status	ae status tg1	frozen	a read, but not named by VISION:93 — not parity-gating
arms/A1/c18-no-trailing-newline-ro/consumers.tsv	next	1	P1-ADJACENT	ae next	ae next	frozen	a read, but not named by VISION:93 — not parity-gating
arms/A1/c18-no-trailing-newline-ro/consumers.tsv	requests-all	0	P1	helper:requests	<AE_HOME>/sessions/tg1/requests all	generated-helper	read surface NAMED by VISION:93 — parity-gating
arms/A1/c18-no-trailing-newline-ro/consumers.tsv	agents	0	P1-ADJACENT	helper:agents	<AE_HOME>/sessions/tg1/agents	generated-helper	a read, but not named by VISION:93 — not parity-gating
arms/A1/c18-no-trailing-newline-ro/consumers.tsv	events-tail	143	P1	helper:events-tail	<AE_HOME>/sessions/tg1/events-tail	generated-helper	read surface NAMED by VISION:93 — parity-gating
arms/A1/c18-no-trailing-newline-rw/consumers.tsv	list	0	P1	ae list	ae list	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A1/c18-no-trailing-newline-rw/consumers.tsv	list-json	0	P1	ae list	ae list --json	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A1/c18-no-trailing-newline-rw/consumers.tsv	list-all	0	P1	ae list	ae list --all	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A1/c18-no-trailing-newline-rw/consumers.tsv	list-all-json	0	P1	ae list	ae list --all --json	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A1/c18-no-trailing-newline-rw/consumers.tsv	ls-alias	0	P1	ae ls	ae ls	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A1/c18-no-trailing-newline-rw/consumers.tsv	ls-alias-all	0	P1	ae ls	ae ls --all	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A1/c18-no-trailing-newline-rw/consumers.tsv	status	0	P1-ADJACENT	ae status	ae status tg1	frozen	a read, but not named by VISION:93 — not parity-gating
arms/A1/c18-no-trailing-newline-rw/consumers.tsv	next	1	P1-ADJACENT	ae next	ae next	frozen	a read, but not named by VISION:93 — not parity-gating
arms/A1/c18-no-trailing-newline-rw/consumers.tsv	requests-all	0	P1	helper:requests	<AE_HOME>/sessions/tg1/requests all	generated-helper	read surface NAMED by VISION:93 — parity-gating
arms/A1/c18-no-trailing-newline-rw/consumers.tsv	agents	0	P1-ADJACENT	helper:agents	<AE_HOME>/sessions/tg1/agents	generated-helper	a read, but not named by VISION:93 — not parity-gating
arms/A1/c18-no-trailing-newline-rw/consumers.tsv	events-tail	143	P1	helper:events-tail	<AE_HOME>/sessions/tg1/events-tail	generated-helper	read surface NAMED by VISION:93 — parity-gating
arms/A1/c19-partial-tail-ro/consumers.tsv	list	0	P1	ae list	ae list	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A1/c19-partial-tail-ro/consumers.tsv	list-json	0	P1	ae list	ae list --json	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A1/c19-partial-tail-ro/consumers.tsv	list-all	0	P1	ae list	ae list --all	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A1/c19-partial-tail-ro/consumers.tsv	list-all-json	0	P1	ae list	ae list --all --json	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A1/c19-partial-tail-ro/consumers.tsv	ls-alias	0	P1	ae ls	ae ls	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A1/c19-partial-tail-ro/consumers.tsv	ls-alias-all	0	P1	ae ls	ae ls --all	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A1/c19-partial-tail-ro/consumers.tsv	status	0	P1-ADJACENT	ae status	ae status tg1	frozen	a read, but not named by VISION:93 — not parity-gating
arms/A1/c19-partial-tail-ro/consumers.tsv	next	1	P1-ADJACENT	ae next	ae next	frozen	a read, but not named by VISION:93 — not parity-gating
arms/A1/c19-partial-tail-ro/consumers.tsv	requests-all	0	P1	helper:requests	<AE_HOME>/sessions/tg1/requests all	generated-helper	read surface NAMED by VISION:93 — parity-gating
arms/A1/c19-partial-tail-ro/consumers.tsv	agents	0	P1-ADJACENT	helper:agents	<AE_HOME>/sessions/tg1/agents	generated-helper	a read, but not named by VISION:93 — not parity-gating
arms/A1/c19-partial-tail-ro/consumers.tsv	events-tail	143	P1	helper:events-tail	<AE_HOME>/sessions/tg1/events-tail	generated-helper	read surface NAMED by VISION:93 — parity-gating
arms/A1/c19-partial-tail-rw/consumers.tsv	list	0	P1	ae list	ae list	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A1/c19-partial-tail-rw/consumers.tsv	list-json	0	P1	ae list	ae list --json	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A1/c19-partial-tail-rw/consumers.tsv	list-all	0	P1	ae list	ae list --all	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A1/c19-partial-tail-rw/consumers.tsv	list-all-json	0	P1	ae list	ae list --all --json	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A1/c19-partial-tail-rw/consumers.tsv	ls-alias	0	P1	ae ls	ae ls	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A1/c19-partial-tail-rw/consumers.tsv	ls-alias-all	0	P1	ae ls	ae ls --all	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A1/c19-partial-tail-rw/consumers.tsv	status	0	P1-ADJACENT	ae status	ae status tg1	frozen	a read, but not named by VISION:93 — not parity-gating
arms/A1/c19-partial-tail-rw/consumers.tsv	next	1	P1-ADJACENT	ae next	ae next	frozen	a read, but not named by VISION:93 — not parity-gating
arms/A1/c19-partial-tail-rw/consumers.tsv	requests-all	0	P1	helper:requests	<AE_HOME>/sessions/tg1/requests all	generated-helper	read surface NAMED by VISION:93 — parity-gating
arms/A1/c19-partial-tail-rw/consumers.tsv	agents	0	P1-ADJACENT	helper:agents	<AE_HOME>/sessions/tg1/agents	generated-helper	a read, but not named by VISION:93 — not parity-gating
arms/A1/c19-partial-tail-rw/consumers.tsv	events-tail	143	P1	helper:events-tail	<AE_HOME>/sessions/tg1/events-tail	generated-helper	read surface NAMED by VISION:93 — parity-gating
arms/A1/c20-405k-live/consumers.tsv	s0-baseline/list	0	P1	ae list	ae list	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A1/c20-405k-live/consumers.tsv	s0-baseline/list-json	0	P1	ae list	ae list --json	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A1/c20-405k-live/consumers.tsv	s0-baseline/list-all	0	P1	ae list	ae list --all	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A1/c20-405k-live/consumers.tsv	s0-baseline/status	0	P1-ADJACENT	ae status	ae status ta1k	frozen	a read, but not named by VISION:93 — not parity-gating
arms/A1/c20-405k-live/consumers.tsv	s0-baseline/next	1	P1-ADJACENT	ae next	ae next	frozen	a read, but not named by VISION:93 — not parity-gating
arms/A1/c20-405k-live/consumers.tsv	s0-baseline/agents	0	P1-ADJACENT	helper:agents	<AE_HOME>/sessions/ta1k/agents	generated-helper	a read, but not named by VISION:93 — not parity-gating
arms/A1/c20-405k-live/consumers.tsv	s0-baseline/requests-all	0	P1	helper:requests	<AE_HOME>/sessions/ta1k/requests all	generated-helper	read surface NAMED by VISION:93 — parity-gating
arms/A1/c20-405k-live/consumers.tsv	s0-baseline-clocale/list	0	P1	ae list	ae list	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A1/c20-405k-live/consumers.tsv	s0-baseline-clocale/list-json	0	P1	ae list	ae list --json	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A1/c20-405k-live/consumers.tsv	s0-baseline-clocale/status	0	P1-ADJACENT	ae status	ae status ta1k	frozen	a read, but not named by VISION:93 — not parity-gating
arms/A1/c20-405k-live/consumers.tsv	s0-baseline-clocale/next	0	P1-ADJACENT	ae next	ae next	frozen	a read, but not named by VISION:93 — not parity-gating
arms/A1/c20-405k-live/consumers.tsv	s0-baseline-clocale/agents	0	P1-ADJACENT	helper:agents	<AE_HOME>/sessions/ta1k/agents	generated-helper	a read, but not named by VISION:93 — not parity-gating
arms/A1/c20-405k-live/consumers.tsv	s1-extra-pane/list	0	P1	ae list	ae list	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A1/c20-405k-live/consumers.tsv	s1-extra-pane/list-json	0	P1	ae list	ae list --json	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A1/c20-405k-live/consumers.tsv	s1-extra-pane/list-all	0	P1	ae list	ae list --all	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A1/c20-405k-live/consumers.tsv	s1-extra-pane/status	0	P1-ADJACENT	ae status	ae status ta1k	frozen	a read, but not named by VISION:93 — not parity-gating
arms/A1/c20-405k-live/consumers.tsv	s1-extra-pane/next	1	P1-ADJACENT	ae next	ae next	frozen	a read, but not named by VISION:93 — not parity-gating
arms/A1/c20-405k-live/consumers.tsv	s1-extra-pane/agents	0	P1-ADJACENT	helper:agents	<AE_HOME>/sessions/ta1k/agents	generated-helper	a read, but not named by VISION:93 — not parity-gating
arms/A1/c20-405k-live/consumers.tsv	s1-extra-pane/requests-all	0	P1	helper:requests	<AE_HOME>/sessions/ta1k/requests all	generated-helper	read surface NAMED by VISION:93 — parity-gating
arms/A1/c20-405k-live/consumers.tsv	s2-extra-pane-and-missing-roster-pane/list	0	P1	ae list	ae list	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A1/c20-405k-live/consumers.tsv	s2-extra-pane-and-missing-roster-pane/list-json	0	P1	ae list	ae list --json	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A1/c20-405k-live/consumers.tsv	s2-extra-pane-and-missing-roster-pane/list-all	0	P1	ae list	ae list --all	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A1/c20-405k-live/consumers.tsv	s2-extra-pane-and-missing-roster-pane/status	0	P1-ADJACENT	ae status	ae status ta1k	frozen	a read, but not named by VISION:93 — not parity-gating
arms/A1/c20-405k-live/consumers.tsv	s2-extra-pane-and-missing-roster-pane/next	0	P1-ADJACENT	ae next	ae next	frozen	a read, but not named by VISION:93 — not parity-gating
arms/A1/c20-405k-live/consumers.tsv	s2-extra-pane-and-missing-roster-pane/agents	0	P1-ADJACENT	helper:agents	<AE_HOME>/sessions/ta1k/agents	generated-helper	a read, but not named by VISION:93 — not parity-gating
arms/A1/c20-405k-live/consumers.tsv	s2-extra-pane-and-missing-roster-pane/requests-all	0	P1	helper:requests	<AE_HOME>/sessions/ta1k/requests all	generated-helper	read surface NAMED by VISION:93 — parity-gating
arms/A2/c01-filters-ro/consumers.tsv	list	0	P1	ae list	ae list	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A2/c01-filters-ro/consumers.tsv	list_json	0	P1	ae list	ae list --json	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A2/c01-filters-ro/consumers.tsv	ls	0	P1	ae ls	ae ls	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A2/c01-filters-ro/consumers.tsv	ls_json	0	P1	ae ls	ae ls --json	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A2/c01-filters-ro/consumers.tsv	list_running	0	P1	ae list	ae list --running	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A2/c01-filters-ro/consumers.tsv	list_running_json	0	P1	ae list	ae list --running --json	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A2/c01-filters-ro/consumers.tsv	ls_running	0	P1	ae ls	ae ls --running	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A2/c01-filters-ro/consumers.tsv	ls_running_json	0	P1	ae ls	ae ls --running --json	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A2/c01-filters-ro/consumers.tsv	list_all	0	P1	ae list	ae list --all	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A2/c01-filters-ro/consumers.tsv	list_all_json	0	P1	ae list	ae list --all --json	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A2/c01-filters-ro/consumers.tsv	ls_all	0	P1	ae ls	ae ls --all	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A2/c01-filters-ro/consumers.tsv	ls_all_json	0	P1	ae ls	ae ls --all --json	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A2/c01-filters-ro/consumers.tsv	list_stopped	0	P1	ae list	ae list --stopped	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A2/c01-filters-ro/consumers.tsv	list_stopped_json	0	P1	ae list	ae list --stopped --json	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A2/c01-filters-ro/consumers.tsv	ls_stopped	0	P1	ae ls	ae ls --stopped	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A2/c01-filters-ro/consumers.tsv	ls_stopped_json	0	P1	ae ls	ae ls --stopped --json	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A2/c01-filters-ro/consumers.tsv	list_needsattn	0	P1	ae list	ae list --needs-attn	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A2/c01-filters-ro/consumers.tsv	list_needsattn_json	0	P1	ae list	ae list --needs-attn --json	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A2/c01-filters-ro/consumers.tsv	ls_needsattn	0	P1	ae ls	ae ls --needs-attn	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A2/c01-filters-ro/consumers.tsv	ls_needsattn_json	0	P1	ae ls	ae ls --needs-attn --json	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A2/c01-filters-ro/consumers.tsv	list_needsme	0	P1	ae list	ae list --needs-me	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A2/c01-filters-ro/consumers.tsv	list_needsme_json	0	P1	ae list	ae list --needs-me --json	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A2/c01-filters-ro/consumers.tsv	ls_needsme	0	P1	ae ls	ae ls --needs-me	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A2/c01-filters-ro/consumers.tsv	ls_needsme_json	0	P1	ae ls	ae ls --needs-me --json	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A2/c01-filters-ro/consumers.tsv	list_needs	0	P1	ae list	ae list --needs	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A2/c01-filters-ro/consumers.tsv	list_needs_json	0	P1	ae list	ae list --needs --json	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A2/c01-filters-ro/consumers.tsv	ls_needs	0	P1	ae ls	ae ls --needs	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A2/c01-filters-ro/consumers.tsv	ls_needs_json	0	P1	ae ls	ae ls --needs --json	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A2/c01-filters-ro/consumers.tsv	list_attn	0	P1	ae list	ae list --attn	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A2/c01-filters-ro/consumers.tsv	list_attn_json	0	P1	ae list	ae list --attn --json	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A2/c01-filters-ro/consumers.tsv	ls_attn	0	P1	ae ls	ae ls --attn	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A2/c01-filters-ro/consumers.tsv	ls_attn_json	0	P1	ae ls	ae ls --attn --json	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A2/c01-filters-ro/consumers.tsv	list_active	0	P1	ae list	ae list --active	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A2/c01-filters-ro/consumers.tsv	list_active_json	0	P1	ae list	ae list --active --json	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A2/c01-filters-ro/consumers.tsv	ls_active	0	P1	ae ls	ae ls --active	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A2/c01-filters-ro/consumers.tsv	ls_active_json	0	P1	ae ls	ae ls --active --json	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A2/c01-filters-ro/consumers.tsv	list_busy	0	P1	ae list	ae list --busy	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A2/c01-filters-ro/consumers.tsv	list_busy_json	0	P1	ae list	ae list --busy --json	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A2/c01-filters-ro/consumers.tsv	ls_busy	0	P1	ae ls	ae ls --busy	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A2/c01-filters-ro/consumers.tsv	ls_busy_json	0	P1	ae ls	ae ls --busy --json	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A2/c01-filters-ro/consumers.tsv	inter_needsattnall	0	P1	ae list	ae list --needs-attn --all	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A2/c01-filters-ro/consumers.tsv	inter_needsattnall_json	0	P1	ae list	ae list --needs-attn --all --json	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A2/c01-filters-ro/consumers.tsv	inter_allneedsattn	0	P1	ae list	ae list --all --needs-attn	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A2/c01-filters-ro/consumers.tsv	inter_allneedsattn_json	0	P1	ae list	ae list --all --needs-attn --json	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A2/c01-filters-ro/consumers.tsv	inter_activeall	0	P1	ae list	ae list --active --all	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A2/c01-filters-ro/consumers.tsv	inter_activeall_json	0	P1	ae list	ae list --active --all --json	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A2/c01-filters-ro/consumers.tsv	inter_allactive	0	P1	ae list	ae list --all --active	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A2/c01-filters-ro/consumers.tsv	inter_allactive_json	0	P1	ae list	ae list --all --active --json	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A2/c01-filters-ro/consumers.tsv	inter_needsattnstopped	0	P1	ae list	ae list --needs-attn --stopped	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A2/c01-filters-ro/consumers.tsv	inter_needsattnstopped_json	0	P1	ae list	ae list --needs-attn --stopped --json	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A2/c01-filters-ro/consumers.tsv	inter_activestopped	0	P1	ae list	ae list --active --stopped	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A2/c01-filters-ro/consumers.tsv	inter_activestopped_json	0	P1	ae list	ae list --active --stopped --json	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A2/c01-filters-ro/consumers.tsv	list_badflag	1	P1	ae list	ae list --no-such-flag	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A2/c01-filters-ro/consumers.tsv	list_help	0	P1	ae list	ae list --help	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A2/c01-filters-ro/consumers.tsv	win_inside_list_active	0	P1	ae list	ae list --active	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A2/c01-filters-ro/consumers.tsv	win_inside_list_active_json	0	P1	ae list	ae list --active --json	frozen	read surface NAMED by VISION:93 — parity-gating
