# SC-017h's and SC-017r's duties over these agents are UNCHANGED (contract
# 2c832b31a890): what is absent is EVIDENCE, not obligation. Each session's meta is
# carried as a HASH and the captured agents output is scoped to its own capturing
# session, so no added row's roster is nameable from this corpus. Enumerated per
# occurrence so the gap has a size and a membership test and cannot absorb a
# session unnoticed.
case	consumer	added_session
arms/A2/c01-filters-rw	list_badflag	twda2
arms/A2/c01-filters-rw	list_badflag	twda3
arms/A2/c01-filters-rw	list_busy	tg1
arms/A2/c01-filters-rw	list_busy	tg2b
arms/A2/c01-filters-rw	list_busy	tg2bl
arms/A2/c01-filters-rw	list_busy	tg2un
arms/A2/c01-filters-rw	list_busy	tg2wu
arms/A2/c01-filters-rw	list_busy	tg6a
arms/A2/c01-filters-rw	list_busy	tg6b
arms/A2/c01-filters-rw	list_busy	twda1
arms/A2/c01-filters-rw	list_busy	twda2
arms/A2/c01-filters-rw	list_busy	twda3
arms/A2/c01-filters-rw	list_help	tg1
arms/A2/c01-filters-rw	list_help	tg2b
arms/A2/c01-filters-rw	list_help	tg2bl
arms/A2/c01-filters-rw	list_help	tg2un
arms/A2/c01-filters-rw	list_help	tg2wu
arms/A2/c01-filters-rw	list_help	tg6a
arms/A2/c01-filters-rw	list_help	tg6b
arms/A2/c01-filters-rw	list_help	twda1
arms/A2/c01-filters-rw	list_help	twda2
arms/A2/c01-filters-rw	list_help	twda3
arms/A2/c01-filters-rw	list_needs	tg1
arms/A2/c01-filters-rw	list_needs	tg2b
arms/A2/c01-filters-rw	list_needs	tg2bl
arms/A2/c01-filters-rw	list_needs	tg2un
arms/A2/c01-filters-rw	list_needs	tg2wu
arms/A2/c01-filters-rw	list_needs	tg6a
arms/A2/c01-filters-rw	list_needs	tg6b
arms/A2/c01-filters-rw	list_needs	twda1
arms/A2/c01-filters-rw	list_needs	twda2
arms/A2/c01-filters-rw	list_needs	twda3
arms/A2/c01-filters-rw	list_needsattn	tg1
arms/A2/c01-filters-rw	list_needsattn	tg2b
arms/A2/c01-filters-rw	list_needsattn	tg2bl
arms/A2/c01-filters-rw	list_needsattn	tg2un
arms/A2/c01-filters-rw	list_needsattn	tg2wu
arms/A2/c01-filters-rw	list_needsattn	tg6a
arms/A2/c01-filters-rw	list_needsattn	tg6b
arms/A2/c01-filters-rw	list_needsattn	twda1
arms/A2/c01-filters-rw	list_needsattn	twda2
arms/A2/c01-filters-rw	list_needsattn	twda3
arms/A2/c01-filters-rw	list_needsme	tg1
arms/A2/c01-filters-rw	list_needsme	tg2b
arms/A2/c01-filters-rw	list_needsme	tg2bl
arms/A2/c01-filters-rw	list_needsme	tg2un
arms/A2/c01-filters-rw	list_needsme	tg2wu
arms/A2/c01-filters-rw	list_needsme	tg6a
arms/A2/c01-filters-rw	list_needsme	tg6b
arms/A2/c01-filters-rw	list_needsme	twda1
arms/A2/c01-filters-rw	list_needsme	twda2
arms/A2/c01-filters-rw	list_needsme	twda3
arms/A2/c01-filters-rw	list_running	tg1
arms/A2/c01-filters-rw	list_running	tg2b
arms/A2/c01-filters-rw	list_running	tg2bl
arms/A2/c01-filters-rw	list_running	tg2un
arms/A2/c01-filters-rw	list_running	tg2wu
arms/A2/c01-filters-rw	list_running	tg6a
arms/A2/c01-filters-rw	list_running	tg6b
arms/A2/c01-filters-rw	list_running	twda1
arms/A2/c01-filters-rw	list_running	twda2
arms/A2/c01-filters-rw	list_running	twda3
arms/A2/c01-filters-rw	ls	tg1
arms/A2/c01-filters-rw	ls	tg2b
arms/A2/c01-filters-rw	ls	tg2bl
arms/A2/c01-filters-rw	ls	tg2un
arms/A2/c01-filters-rw	ls	tg2wu
arms/A2/c01-filters-rw	ls	tg6a
arms/A2/c01-filters-rw	ls	tg6b
arms/A2/c01-filters-rw	ls	twda1
arms/A2/c01-filters-rw	ls	twda2
arms/A2/c01-filters-rw	ls	twda3
arms/A2/c01-filters-rw	ls_active	tg1
arms/A2/c01-filters-rw	ls_active	tg2b
arms/A2/c01-filters-rw	ls_active	tg2bl
arms/A2/c01-filters-rw	ls_active	tg2un
arms/A2/c01-filters-rw	ls_active	tg2wu
arms/A2/c01-filters-rw	ls_active	tg6a
arms/A2/c01-filters-rw	ls_active	tg6b
arms/A2/c01-filters-rw	ls_active	twda1
arms/A2/c01-filters-rw	ls_active	twda2
arms/A2/c01-filters-rw	ls_active	twda3
arms/A2/c01-filters-rw	ls_all	tg1
arms/A2/c01-filters-rw	ls_all	tg2b
arms/A2/c01-filters-rw	ls_all	tg2wu
arms/A2/c01-filters-rw	ls_all	twda1
arms/A2/c01-filters-rw	ls_attn	tg1
arms/A2/c01-filters-rw	ls_attn	tg2b
arms/A2/c01-filters-rw	ls_attn	tg2bl
arms/A2/c01-filters-rw	ls_attn	tg2un
arms/A2/c01-filters-rw	ls_attn	tg2wu
arms/A2/c01-filters-rw	ls_attn	tg6a
arms/A2/c01-filters-rw	ls_attn	tg6b
arms/A2/c01-filters-rw	ls_attn	twda1
arms/A2/c01-filters-rw	ls_attn	twda2
arms/A2/c01-filters-rw	ls_attn	twda3
arms/A2/c01-filters-rw	ls_busy	tg1
arms/A2/c01-filters-rw	ls_busy	tg2b
arms/A2/c01-filters-rw	ls_busy	tg2bl
arms/A2/c01-filters-rw	ls_busy	tg2un
arms/A2/c01-filters-rw	ls_busy	tg2wu
arms/A2/c01-filters-rw	ls_busy	tg6a
arms/A2/c01-filters-rw	ls_busy	tg6b
arms/A2/c01-filters-rw	ls_busy	twda1
arms/A2/c01-filters-rw	ls_busy	twda2
arms/A2/c01-filters-rw	ls_busy	twda3
arms/A2/c01-filters-rw	ls_needs	tg1
arms/A2/c01-filters-rw	ls_needs	tg2b
arms/A2/c01-filters-rw	ls_needs	tg2bl
arms/A2/c01-filters-rw	ls_needs	tg2un
arms/A2/c01-filters-rw	ls_needs	tg2wu
arms/A2/c01-filters-rw	ls_needs	tg6a
arms/A2/c01-filters-rw	ls_needs	tg6b
arms/A2/c01-filters-rw	ls_needs	twda1
arms/A2/c01-filters-rw	ls_needs	twda2
arms/A2/c01-filters-rw	ls_needs	twda3
arms/A2/c01-filters-rw	ls_needsattn	tg1
arms/A2/c01-filters-rw	ls_needsattn	tg2b
arms/A2/c01-filters-rw	ls_needsattn	tg2bl
arms/A2/c01-filters-rw	ls_needsattn	tg2un
arms/A2/c01-filters-rw	ls_needsattn	tg2wu
arms/A2/c01-filters-rw	ls_needsattn	tg6a
arms/A2/c01-filters-rw	ls_needsattn	tg6b
arms/A2/c01-filters-rw	ls_needsattn	twda1
arms/A2/c01-filters-rw	ls_needsattn	twda2
arms/A2/c01-filters-rw	ls_needsattn	twda3
arms/A2/c01-filters-rw	ls_needsme	tg1
arms/A2/c01-filters-rw	ls_needsme	tg2b
arms/A2/c01-filters-rw	ls_needsme	tg2bl
arms/A2/c01-filters-rw	ls_needsme	tg2un
arms/A2/c01-filters-rw	ls_needsme	tg2wu
arms/A2/c01-filters-rw	ls_needsme	tg6a
arms/A2/c01-filters-rw	ls_needsme	tg6b
arms/A2/c01-filters-rw	ls_needsme	twda1
arms/A2/c01-filters-rw	ls_needsme	twda2
arms/A2/c01-filters-rw	ls_needsme	twda3
arms/A2/c01-filters-rw	ls_running	tg1
arms/A2/c01-filters-rw	ls_running	tg2b
arms/A2/c01-filters-rw	ls_running	tg2bl
arms/A2/c01-filters-rw	ls_running	tg2un
arms/A2/c01-filters-rw	ls_running	tg2wu
arms/A2/c01-filters-rw	ls_running	tg6a
arms/A2/c01-filters-rw	ls_running	tg6b
arms/A2/c01-filters-rw	ls_running	twda1
arms/A2/c01-filters-rw	ls_running	twda2
arms/A2/c01-filters-rw	ls_running	twda3
arms/A2/c01-filters-rw	win_inside_active_all	tg1
arms/A2/c01-filters-rw	win_inside_active_all	tg2b
arms/A2/c01-filters-rw	win_inside_active_all	tg2bl
arms/A2/c01-filters-rw	win_inside_active_all	tg2un
arms/A2/c01-filters-rw	win_inside_active_all	tg2wu
arms/A2/c01-filters-rw	win_inside_active_all	tg6a
arms/A2/c01-filters-rw	win_inside_active_all	tg6b
arms/A2/c01-filters-rw	win_inside_active_all	twda1
arms/A2/c01-filters-rw	win_inside_active_all	twda2
arms/A2/c01-filters-rw	win_inside_active_all	twda3
arms/A2/c01-filters-rw	win_inside_active_needsattn	tg1
arms/A2/c01-filters-rw	win_inside_active_needsattn	tg2b
arms/A2/c01-filters-rw	win_inside_active_needsattn	tg2bl
arms/A2/c01-filters-rw	win_inside_active_needsattn	tg2un
arms/A2/c01-filters-rw	win_inside_active_needsattn	tg2wu
arms/A2/c01-filters-rw	win_inside_active_needsattn	tg6a
arms/A2/c01-filters-rw	win_inside_active_needsattn	tg6b
arms/A2/c01-filters-rw	win_inside_active_needsattn	twda1
arms/A2/c01-filters-rw	win_inside_active_needsattn	twda2
arms/A2/c01-filters-rw	win_inside_active_needsattn	twda3
arms/A2/c01-filters-rw	win_inside_all_active	tg1
arms/A2/c01-filters-rw	win_inside_all_active	tg2b
arms/A2/c01-filters-rw	win_inside_all_active	tg2bl
arms/A2/c01-filters-rw	win_inside_all_active	tg2un
arms/A2/c01-filters-rw	win_inside_all_active	tg2wu
arms/A2/c01-filters-rw	win_inside_all_active	tg6a
arms/A2/c01-filters-rw	win_inside_all_active	tg6b
arms/A2/c01-filters-rw	win_inside_all_active	twda1
arms/A2/c01-filters-rw	win_inside_all_active	twda2
arms/A2/c01-filters-rw	win_inside_all_active	twda3
arms/A2/c01-filters-rw	win_inside_list_active	tg1
arms/A2/c01-filters-rw	win_inside_list_active	tg2b
arms/A2/c01-filters-rw	win_inside_list_active	tg2bl
arms/A2/c01-filters-rw	win_inside_list_active	tg2un
arms/A2/c01-filters-rw	win_inside_list_active	tg2wu
arms/A2/c01-filters-rw	win_inside_list_active	tg6a
arms/A2/c01-filters-rw	win_inside_list_active	tg6b
arms/A2/c01-filters-rw	win_inside_list_active	twda1
arms/A2/c01-filters-rw	win_inside_list_active	twda2
arms/A2/c01-filters-rw	win_inside_list_active	twda3
arms/A2/c01-filters-rw	win_inside_list_busy	tg1
arms/A2/c01-filters-rw	win_inside_list_busy	tg2b
arms/A2/c01-filters-rw	win_inside_list_busy	tg2bl
arms/A2/c01-filters-rw	win_inside_list_busy	tg2un
arms/A2/c01-filters-rw	win_inside_list_busy	tg2wu
arms/A2/c01-filters-rw	win_inside_list_busy	tg6a
arms/A2/c01-filters-rw	win_inside_list_busy	tg6b
arms/A2/c01-filters-rw	win_inside_list_busy	twda1
arms/A2/c01-filters-rw	win_inside_list_busy	twda2
arms/A2/c01-filters-rw	win_inside_list_busy	twda3
arms/A2/c01-filters-rw	win_inside_needsattn_active	tg1
arms/A2/c01-filters-rw	win_inside_needsattn_active	tg2b
arms/A2/c01-filters-rw	win_inside_needsattn_active	tg2bl
arms/A2/c01-filters-rw	win_inside_needsattn_active	tg2un
arms/A2/c01-filters-rw	win_inside_needsattn_active	tg2wu
arms/A2/c01-filters-rw	win_inside_needsattn_active	tg6a
arms/A2/c01-filters-rw	win_inside_needsattn_active	tg6b
arms/A2/c01-filters-rw	win_inside_needsattn_active	twda1
arms/A2/c01-filters-rw	win_inside_needsattn_active	twda2
arms/A2/c01-filters-rw	win_inside_needsattn_active	twda3
arms/A2/c01-filters-rw	win_outside_active_all	tg1
arms/A2/c01-filters-rw	win_outside_active_all	tg2b
arms/A2/c01-filters-rw	win_outside_active_all	tg2bl
arms/A2/c01-filters-rw	win_outside_active_all	tg2un
arms/A2/c01-filters-rw	win_outside_active_all	tg2wu
arms/A2/c01-filters-rw	win_outside_active_all	tg6a
arms/A2/c01-filters-rw	win_outside_active_all	tg6b
arms/A2/c01-filters-rw	win_outside_active_all	twda1
arms/A2/c01-filters-rw	win_outside_active_all	twda2
arms/A2/c01-filters-rw	win_outside_active_all	twda3
arms/A2/c01-filters-rw	win_outside_active_needsattn	tg1
arms/A2/c01-filters-rw	win_outside_active_needsattn	tg2b
arms/A2/c01-filters-rw	win_outside_active_needsattn	tg2bl
arms/A2/c01-filters-rw	win_outside_active_needsattn	tg2un
arms/A2/c01-filters-rw	win_outside_active_needsattn	tg2wu
arms/A2/c01-filters-rw	win_outside_active_needsattn	tg6a
arms/A2/c01-filters-rw	win_outside_active_needsattn	tg6b
arms/A2/c01-filters-rw	win_outside_active_needsattn	twda1
arms/A2/c01-filters-rw	win_outside_active_needsattn	twda2
arms/A2/c01-filters-rw	win_outside_active_needsattn	twda3
arms/A2/c01-filters-rw	win_outside_all_active	tg1
arms/A2/c01-filters-rw	win_outside_all_active	tg2b
arms/A2/c01-filters-rw	win_outside_all_active	tg2bl
arms/A2/c01-filters-rw	win_outside_all_active	tg2un
arms/A2/c01-filters-rw	win_outside_all_active	tg2wu
arms/A2/c01-filters-rw	win_outside_all_active	tg6a
arms/A2/c01-filters-rw	win_outside_all_active	tg6b
arms/A2/c01-filters-rw	win_outside_all_active	twda1
arms/A2/c01-filters-rw	win_outside_all_active	twda2
arms/A2/c01-filters-rw	win_outside_all_active	twda3
arms/A2/c01-filters-rw	win_outside_list_active	tg1
arms/A2/c01-filters-rw	win_outside_list_active	tg2b
arms/A2/c01-filters-rw	win_outside_list_active	tg2bl
arms/A2/c01-filters-rw	win_outside_list_active	tg2un
arms/A2/c01-filters-rw	win_outside_list_active	tg2wu
arms/A2/c01-filters-rw	win_outside_list_active	tg6a
arms/A2/c01-filters-rw	win_outside_list_active	tg6b
arms/A2/c01-filters-rw	win_outside_list_active	twda1
arms/A2/c01-filters-rw	win_outside_list_active	twda2
arms/A2/c01-filters-rw	win_outside_list_active	twda3
arms/A2/c01-filters-rw	win_outside_list_busy	tg1
arms/A2/c01-filters-rw	win_outside_list_busy	tg2b
arms/A2/c01-filters-rw	win_outside_list_busy	tg2bl
arms/A2/c01-filters-rw	win_outside_list_busy	tg2un
arms/A2/c01-filters-rw	win_outside_list_busy	tg2wu
arms/A2/c01-filters-rw	win_outside_list_busy	tg6a
arms/A2/c01-filters-rw	win_outside_list_busy	tg6b
arms/A2/c01-filters-rw	win_outside_list_busy	twda1
arms/A2/c01-filters-rw	win_outside_list_busy	twda2
arms/A2/c01-filters-rw	win_outside_list_busy	twda3
arms/A2/c01-filters-rw	win_outside_needsattn_active	tg1
arms/A2/c01-filters-rw	win_outside_needsattn_active	tg2b
arms/A2/c01-filters-rw	win_outside_needsattn_active	tg2bl
arms/A2/c01-filters-rw	win_outside_needsattn_active	tg2un
arms/A2/c01-filters-rw	win_outside_needsattn_active	tg2wu
arms/A2/c01-filters-rw	win_outside_needsattn_active	tg6a
arms/A2/c01-filters-rw	win_outside_needsattn_active	tg6b
arms/A2/c01-filters-rw	win_outside_needsattn_active	twda1
arms/A2/c01-filters-rw	win_outside_needsattn_active	twda2
arms/A2/c01-filters-rw	win_outside_needsattn_active	twda3
arms/A3/c01-dead-ro	list	twda1
arms/A3/c01-dead-ro	list-active	twda1
arms/A3/c01-dead-ro	list-needsattn	twda1
arms/A3/c01-dead-rw	list	twda1
arms/A3/c01-dead-rw	list-active	twda1
arms/A3/c01-dead-rw	list-needsattn	twda1
arms/A3/c02-stale-ro	list	twda2
arms/A3/c02-stale-ro	list-active	twda2
arms/A3/c02-stale-ro	list-needsattn	twda2
arms/A3/c02-stale-rw	list	twda2
arms/A3/c02-stale-rw	list-active	twda2
arms/A3/c02-stale-rw	list-needsattn	twda2
arms/A3/c03-throttled-ro	list	twda3
arms/A3/c03-throttled-ro	list-active	twda3
arms/A3/c03-throttled-ro	list-needsattn	twda3
arms/A3/c03-throttled-rw	list	twda3
arms/A3/c03-throttled-rw	list-active	twda3
arms/A3/c03-throttled-rw	list-needsattn	twda3
arms/A3/c04-waiting-user-ro	list	tg2wu
arms/A3/c04-waiting-user-ro	list-active	tg2wu
arms/A3/c04-waiting-user-ro	list-needsattn	tg2wu
arms/A3/c04-waiting-user-rw	list	tg2wu
arms/A3/c04-waiting-user-rw	list-active	tg2wu
arms/A3/c04-waiting-user-rw	list-needsattn	tg2wu
arms/A3/c05-blocked-ro	list	tg2bl
arms/A3/c05-blocked-ro	list-active	tg2bl
arms/A3/c05-blocked-ro	list-needsattn	tg2bl
arms/A3/c05-blocked-rw	list	tg2bl
arms/A3/c05-blocked-rw	list-active	tg2bl
arms/A3/c05-blocked-rw	list-needsattn	tg2bl
arms/A3/c06-unanswered-ro	list	tg2un
arms/A3/c06-unanswered-ro	list-active	tg2un
arms/A3/c06-unanswered-ro	list-needsattn	tg2un
arms/A3/c06-unanswered-rw	list	tg2un
arms/A3/c06-unanswered-rw	list-active	tg2un
arms/A3/c06-unanswered-rw	list-needsattn	tg2un
arms/A3/c07-competing-ro	list	tg2b
arms/A3/c07-competing-ro	list-active	tg2b
arms/A3/c07-competing-ro	list-needsattn	tg2b
arms/A3/c07-competing-rw	list	tg2b
arms/A3/c07-competing-rw	list-active	tg2b
arms/A3/c07-competing-rw	list-needsattn	tg2b
arms/A3/c08-unanswered-vs-agent-owned-ro	list	ta3g
arms/A3/c08-unanswered-vs-agent-owned-ro	list-active	ta3g
arms/A3/c08-unanswered-vs-agent-owned-ro	list-needsattn	ta3g
arms/A3/c08-unanswered-vs-agent-owned-rw	list	ta3g
arms/A3/c08-unanswered-vs-agent-owned-rw	list-active	ta3g
arms/A3/c08-unanswered-vs-agent-owned-rw	list-needsattn	ta3g
arms/A3/c09-524a-future-ts-ordinary-mtime-ro	list	tg1
arms/A3/c09-524a-future-ts-ordinary-mtime-ro	list-active	tg1
arms/A3/c09-524a-future-ts-ordinary-mtime-ro	list-needsattn	tg1
arms/A3/c09-524a-future-ts-ordinary-mtime-rw	list	tg1
arms/A3/c09-524a-future-ts-ordinary-mtime-rw	list-active	tg1
arms/A3/c09-524a-future-ts-ordinary-mtime-rw	list-needsattn	tg1
arms/A3/c10-524b-ordinary-ts-future-mtime-ro	list	tg1
arms/A3/c10-524b-ordinary-ts-future-mtime-ro	list-active	tg1
arms/A3/c10-524b-ordinary-ts-future-mtime-ro	list-needsattn	tg1
arms/A3/c10-524b-ordinary-ts-future-mtime-rw	list	tg1
arms/A3/c10-524b-ordinary-ts-future-mtime-rw	list-active	tg1
arms/A3/c10-524b-ordinary-ts-future-mtime-rw	list-needsattn	tg1
arms/A3b/c01-dead-over-stale-ro	list	tpairdeadoverstale
arms/A3b/c01-dead-over-stale-ro	list-active	tpairdeadoverstale
arms/A3b/c01-dead-over-stale-ro	list-needsattn	tpairdeadoverstale
arms/A3b/c01-dead-over-stale-rw	list	tpairdeadoverstale
arms/A3b/c01-dead-over-stale-rw	list-active	tpairdeadoverstale
arms/A3b/c01-dead-over-stale-rw	list-needsattn	tpairdeadoverstale
arms/A3b/c02-stale-over-waitinguser-ro	list	tpairstaleoverwaitinguser
arms/A3b/c02-stale-over-waitinguser-ro	list-active	tpairstaleoverwaitinguser
arms/A3b/c02-stale-over-waitinguser-ro	list-needsattn	tpairstaleoverwaitinguser
arms/A3b/c02-stale-over-waitinguser-rw	list	tpairstaleoverwaitinguser
arms/A3b/c02-stale-over-waitinguser-rw	list-active	tpairstaleoverwaitinguser
arms/A3b/c02-stale-over-waitinguser-rw	list-needsattn	tpairstaleoverwaitinguser
arms/A3b/c03-waitinguser-over-blocked-ro	list	tpairwaitinguseroverblocked
arms/A3b/c03-waitinguser-over-blocked-ro	list-active	tpairwaitinguseroverblocked
arms/A3b/c03-waitinguser-over-blocked-ro	list-needsattn	tpairwaitinguseroverblocked
arms/A3b/c03-waitinguser-over-blocked-rw	list	tpairwaitinguseroverblocked
arms/A3b/c03-waitinguser-over-blocked-rw	list-active	tpairwaitinguseroverblocked
arms/A3b/c03-waitinguser-over-blocked-rw	list-needsattn	tpairwaitinguseroverblocked
arms/A3b/c04-blocked-over-throttled-ro	list	tpairblockedoverthrottled
arms/A3b/c04-blocked-over-throttled-ro	list-active	tpairblockedoverthrottled
arms/A3b/c04-blocked-over-throttled-ro	list-needsattn	tpairblockedoverthrottled
arms/A3b/c04-blocked-over-throttled-rw	list	tpairblockedoverthrottled
arms/A3b/c04-blocked-over-throttled-rw	list-active	tpairblockedoverthrottled
arms/A3b/c04-blocked-over-throttled-rw	list-needsattn	tpairblockedoverthrottled
arms/A3b/c05-throttled-over-unanswered-ro	list	tpairthrottledoverunanswered
arms/A3b/c05-throttled-over-unanswered-ro	list-active	tpairthrottledoverunanswered
arms/A3b/c05-throttled-over-unanswered-ro	list-needsattn	tpairthrottledoverunanswered
arms/A3b/c05-throttled-over-unanswered-rw	list	tpairthrottledoverunanswered
arms/A3b/c05-throttled-over-unanswered-rw	list-active	tpairthrottledoverunanswered
arms/A3b/c05-throttled-over-unanswered-rw	list-needsattn	tpairthrottledoverunanswered
arms/A3b/c06-competing-noclear-ro	list	tcompetingnoclear
arms/A3b/c06-competing-noclear-ro	list-active	tcompetingnoclear
arms/A3b/c06-competing-noclear-ro	list-needsattn	tcompetingnoclear
arms/A3b/c06-competing-noclear-rw	list	tcompetingnoclear
arms/A3b/c06-competing-noclear-rw	list-active	tcompetingnoclear
arms/A3b/c06-competing-noclear-rw	list-needsattn	tcompetingnoclear
arms/A6/a6-threshold-fixed-clock	age100000_list_needsattn	tg2un
arms/A6/a6-threshold-fixed-clock	age10_list_needsattn	tg2un
arms/A6/a6-threshold-fixed-clock	age1799_list_needsattn	tg2un
arms/A6/a6-threshold-fixed-clock	age1800_list_needsattn	tg2un
arms/A6/a6-threshold-fixed-clock	age1801_list_needsattn	tg2un
arms/A7/a7-c01-meta-multi-equals-ro	list	ta7a
arms/A7/a7-c01-meta-multi-equals-ro	list-all	ta7a
arms/A7/a7-c01-meta-multi-equals-rw	list	ta7a
arms/A7/a7-c01-meta-multi-equals-rw	list-all	ta7a
arms/A7/a7-c02-meta-duplicate-key-ro	list	ta7a
arms/A7/a7-c02-meta-duplicate-key-ro	list-all	ta7a
arms/A7/a7-c02-meta-duplicate-key-rw	list	ta7a
arms/A7/a7-c02-meta-duplicate-key-rw	list-all	ta7a
arms/A7/a7-c03-meta-unknown-keys-ro	list	tg1
arms/A7/a7-c03-meta-unknown-keys-ro	list-all	tg1
arms/A7/a7-c03-meta-unknown-keys-rw	list	tg1
arms/A7/a7-c03-meta-unknown-keys-rw	list-all	tg1
arms/A7/a7-c04-healthy-baseline-ro	list	tg1
arms/A7/a7-c04-healthy-baseline-ro	list-all	tg1
arms/A7/a7-c04-healthy-baseline-rw	list	tg1
arms/A7/a7-c04-healthy-baseline-rw	list-all	tg1
arms/A7/a7-c05-meta-mode-000-ro	list	tg1
arms/A7/a7-c05-meta-mode-000-rw	list	tg1
arms/A7/a7-c06-goal-order-opposed-ro	list	ta7goalorderopposed
arms/A7/a7-c06-goal-order-opposed-ro	list-all	ta7goalorderopposed
arms/A7/a7-c06-goal-order-opposed-rw	list	ta7goalorderopposed
arms/A7/a7-c06-goal-order-opposed-rw	list-all	ta7goalorderopposed
arms/A7/a7-c07-goal-order-agreeing-ro	list	ta7goalorderagreeing
arms/A7/a7-c07-goal-order-agreeing-ro	list-all	ta7goalorderagreeing
arms/A7/a7-c07-goal-order-agreeing-rw	list	ta7goalorderagreeing
arms/A7/a7-c07-goal-order-agreeing-rw	list-all	ta7goalorderagreeing
arms/A7/a7-c08-goal-order-single-ro	list	ta7goalordersingle
arms/A7/a7-c08-goal-order-single-ro	list-all	ta7goalordersingle
arms/A7/a7-c08-goal-order-single-rw	list	ta7goalordersingle
arms/A7/a7-c08-goal-order-single-rw	list-all	ta7goalordersingle
arms/A7/a7-c09-goals-distinct-ts-ro	list	tg9
arms/A7/a7-c09-goals-distinct-ts-ro	list-all	tg9
arms/A7/a7-c09-goals-distinct-ts-rw	list	tg9
arms/A7/a7-c09-goals-distinct-ts-rw	list-all	tg9
arms/A7/a7-c10-branch-live-ro	list	ta7g
arms/A7/a7-c10-branch-live-ro	list-all	ta7g
arms/A7/a7-c10-branch-live-rw	list	ta7g
arms/A7/a7-c10-branch-live-rw	list-all	ta7g
arms/A7/a7-c11-branch-stopped-ro	list	ta7g
arms/A7/a7-c11-branch-stopped-rw	list	ta7g
arms/A7/a7-c12-405j-pair-full-fresh-ro	list	tg5
arms/A7/a7-c12-405j-pair-full-fresh-ro	list-all	tg5
arms/A7/a7-c12-405j-pair-full-fresh-rw	list	tg5
arms/A7/a7-c12-405j-pair-full-fresh-rw	list-all	tg5
arms/A7/a7-c13-405j-pair-stale-keys-ro	list	tg5
arms/A7/a7-c13-405j-pair-stale-keys-ro	list-all	tg5
arms/A7/a7-c13-405j-pair-stale-keys-rw	list	tg5
arms/A7/a7-c13-405j-pair-stale-keys-rw	list-all	tg5
arms/A7/a7-c14-405j-pair-slot-only-ro	list	tg5
arms/A7/a7-c14-405j-pair-slot-only-ro	list-all	tg5
arms/A7/a7-c14-405j-pair-slot-only-rw	list	tg5
arms/A7/a7-c14-405j-pair-slot-only-rw	list-all	tg5
arms/A7/a7-c15-405j-pair-session-only-ro	list	tg5
arms/A7/a7-c15-405j-pair-session-only-ro	list-all	tg5
arms/A7/a7-c15-405j-pair-session-only-rw	list	tg5
arms/A7/a7-c15-405j-pair-session-only-rw	list-all	tg5
arms/A7/a7-c16-405j-pair-keyless-ro	list	tg5
arms/A7/a7-c16-405j-pair-keyless-ro	list-all	tg5
arms/A7/a7-c16-405j-pair-keyless-rw	list	tg5
arms/A7/a7-c16-405j-pair-keyless-rw	list-all	tg5
arms/A7/a7-c17-405j-pair-one-empty-ro	list	tg5
arms/A7/a7-c17-405j-pair-one-empty-ro	list-all	tg5
arms/A7/a7-c17-405j-pair-one-empty-rw	list	tg5
arms/A7/a7-c17-405j-pair-one-empty-rw	list-all	tg5
arms/A7/a7-c18-405j-pair-all-empty-ro	list	tg5
arms/A7/a7-c18-405j-pair-all-empty-ro	list-all	tg5
arms/A7/a7-c18-405j-pair-all-empty-rw	list	tg5
arms/A7/a7-c18-405j-pair-all-empty-rw	list-all	tg5
arms/A9/a9-c01-no-events-ro	list	tg1
arms/A9/a9-c01-no-events-ro	list-all	tg1
arms/A9/a9-c01-no-events-ro-noserver	list	tg1
arms/A9/a9-c01-no-events-rw	list	tg1
arms/A9/a9-c01-no-events-rw	list-all	tg1
arms/A9/a9-c02-zero-byte-events-ro	list	tg1
arms/A9/a9-c02-zero-byte-events-ro	list-all	tg1
arms/A9/a9-c02-zero-byte-events-ro-noserver	list	tg1
arms/A9/a9-c02-zero-byte-events-rw	list	tg1
arms/A9/a9-c02-zero-byte-events-rw	list-all	tg1
arms/A9/a9-c03-meta-mode-000-ro	list	tg1
arms/A9/a9-c03-meta-mode-000-ro	list-all	tg1
arms/A9/a9-c03-meta-mode-000-ro-noserver	list	tg1
arms/A9/a9-c03-meta-mode-000-rw	list	tg1
arms/A9/a9-c03-meta-mode-000-rw	list-all	tg1
arms/A9/a9-c04-malformed-event-ro	list	tg1
arms/A9/a9-c04-malformed-event-ro	list-all	tg1
arms/A9/a9-c04-malformed-event-ro-noserver	list	tg1
arms/A9/a9-c04-malformed-event-rw	list	tg1
arms/A9/a9-c04-malformed-event-rw	list-all	tg1
arms/A9/a9-c05-meta-absent-ro	list	tg1
arms/A9/a9-c05-meta-absent-ro	list-all	tg1
arms/A9/a9-c05-meta-absent-ro-noserver	list	tg1
arms/A9/a9-c05-meta-absent-rw	list	tg1
arms/A9/a9-c05-meta-absent-rw	list-all	tg1
arms/A9/a9-c06-healthy-control-ro	list	tg1
arms/A9/a9-c06-healthy-control-ro	list-all	tg1
arms/A9/a9-c06-healthy-control-ro-noserver	list	tg1
arms/A9/a9-c06-healthy-control-rw	list	tg1
arms/A9/a9-c06-healthy-control-rw	list-all	tg1
